epoch, distortion_loss, perception_loss, rate, lambda
4,0.010319866240024567,-0.21177254617214203,32.0,0.001
9,0.008654901757836342,-0.0674080178141594,32.0,0.001
14,0.007694016210734844,-0.1434934437274933,32.0,0.001
19,0.007612750865519047,-0.1757136732339859,32.0,0.001
24,0.007033751346170902,-0.09348902106285095,32.0,0.001
29,0.006961649749428034,-0.10407418012619019,32.0,0.001
34,0.006947534624487162,-0.08049625158309937,32.0,0.001
39,0.006921712309122086,-0.0796906128525734,32.0,0.001
44,0.006824745796620846,-0.10561063140630722,32.0,0.001
49,0.0068190619349479675,-0.09965650737285614,32.0,0.001
54,0.0067791868932545185,-0.10757829248905182,32.0,0.001
59,0.00678423885256052,-0.10036097466945648,32.0,0.001
64,0.0068399845622479916,-0.1147717833518982,32.0,0.001
69,0.006776921451091766,-0.10138934850692749,32.0,0.001
74,0.006758599542081356,-0.11600997298955917,32.0,0.001
79,0.006750373635441065,-0.11404389142990112,32.0,0.001
84,0.0067524113692343235,-0.0977012887597084,32.0,0.001
89,0.006748604588210583,-0.10617752373218536,32.0,0.001
94,0.006815401837229729,-0.10855750739574432,32.0,0.001
99,0.006742177996784449,-0.10648168623447418,32.0,0.001
