epoch,distortion_loss,cross_entropy_loss,rate,lambda
4,0.017338963225483894,1.781998872756958,120.0,0.03
9,0.014803789556026459,1.4080803394317627,120.0,0.03
14,0.018549449741840363,1.3597759008407593,120.0,0.03
19,0.015867281705141068,1.1849204301834106,120.0,0.03
24,0.018038811162114143,1.221696376800537,120.0,0.03
29,0.014681830070912838,1.2994370460510254,120.0,0.03
34,0.016948141157627106,1.190563678741455,120.0,0.03
39,0.015681851655244827,1.093562126159668,120.0,0.03
44,0.01424899511039257,1.0753650665283203,120.0,0.03
49,0.013958078809082508,1.079875111579895,120.0,0.03
54,0.014064237475395203,1.0543084144592285,120.0,0.03
59,0.014222763478755951,1.0237549543380737,120.0,0.03
64,0.014267104677855968,1.0119750499725342,120.0,0.03
69,0.013936898671090603,0.9880560040473938,120.0,0.03
74,0.014014026150107384,1.0115867853164673,120.0,0.03
79,0.013978550210595131,1.0026568174362183,120.0,0.03
84,0.013516387902200222,0.9806292653083801,120.0,0.03
89,0.013569390401244164,0.9871836304664612,120.0,0.03
94,0.013335389085114002,0.9579679369926453,120.0,0.03
99,0.01329515129327774,0.9797954559326172,120.0,0.03
