epoch,distortion_loss,perception_loss,rate,lambda
4,0.019634200260043144,0.9700887799263,24.0,0.003
9,0.020709529519081116,1.4752763509750366,24.0,0.003
14,0.01843876950442791,1.5125521421432495,24.0,0.003
19,0.018378112465143204,1.496622920036316,24.0,0.003
24,0.018459392711520195,1.4945319890975952,24.0,0.003
29,0.018924182280898094,1.6227641105651855,24.0,0.003
34,0.018050821498036385,1.453008770942688,24.0,0.003
39,0.0182317104190588,1.573445200920105,24.0,0.003
44,0.017995474860072136,1.478703260421753,24.0,0.003
49,0.01789041981101036,1.5377397537231445,24.0,0.003
54,0.017857268452644348,1.599221110343933,24.0,0.003
59,0.01788085140287876,1.4270366430282593,24.0,0.003
64,0.017948361113667488,1.505806565284729,24.0,0.003
69,0.017873544245958328,1.565871238708496,24.0,0.003
74,0.01786886528134346,1.356177568435669,24.0,0.003
79,0.017855988815426826,1.5290559530258179,24.0,0.003
84,0.01786382868885994,1.5237720012664795,24.0,0.003
89,0.017913568764925003,1.6149811744689941,24.0,0.003
94,0.018022557720541954,1.50200355052948,24.0,0.003
99,0.017893275246024132,1.6113659143447876,24.0,0.003
