epoch,distortion_loss,accuracy,rate,lambda
4,0.019634200260043144,0.4277427781192379,24.0,0.003
9,0.020709529519081116,0.49562077443146896,24.0,0.003
14,0.01843876950442791,0.5568531038721574,24.0,0.003
19,0.018378112465143204,0.6170098340503996,24.0,0.003
24,0.018459392711520195,0.6546942224953903,24.0,0.003
29,0.018924182280898094,0.6742086662569146,24.0,0.003
34,0.018050821498036385,0.6868469575906576,24.0,0.003
39,0.0182317104190588,0.7105869698832207,24.0,0.003
44,0.017995474860072136,0.7293331284572834,24.0,0.003
49,0.01789041981101036,0.7284496004917025,24.0,0.003
54,0.017857268452644348,0.7239167178856791,24.0,0.003
59,0.01788085140287876,0.7289874001229256,24.0,0.003
64,0.017948361113667488,0.7269130301167793,24.0,0.003
69,0.017873544245958328,0.7324446834665027,24.0,0.003
74,0.01786886528134346,0.7356714812538414,24.0,0.003
79,0.017855988815426826,0.7350184388444991,24.0,0.003
84,0.01786382868885994,0.7327904118008605,24.0,0.003
89,0.017913568764925003,0.7389751075599262,24.0,0.003
94,0.018022557720541954,0.740319606637984,24.0,0.003
99,0.017893275246024132,0.7416256914566687,24.0,0.003
