epoch,distortion_loss,accuracy, rate, lambda
4,0.016488827764987946,0.6951,20.0,0.001
9,0.013695514760911465,0.7345,20.0,0.001
14,0.01274429727345705,0.7558,20.0,0.001
19,0.012468689121305943,0.7717,20.0,0.001
24,0.011930379085242748,0.7728,20.0,0.001
29,0.011695646680891514,0.7754,20.0,0.001
34,0.011662124656140804,0.7745,20.0,0.001
39,0.011584551073610783,0.7863,20.0,0.001
44,0.011514718644320965,0.7838,20.0,0.001
49,0.011532493866980076,0.7827,20.0,0.001
54,0.011531325988471508,0.7814,20.0,0.001
59,0.011495606042444706,0.7814,20.0,0.001
64,0.011592742055654526,0.7944,20.0,0.001
69,0.011471251025795937,0.7884,20.0,0.001
74,0.011477972380816936,0.7885,20.0,0.001
79,0.011470161378383636,0.7889,20.0,0.001
84,0.011443812400102615,0.7835,20.0,0.001
89,0.011418777517974377,0.7874,20.0,0.001
94,0.011404860764741898,0.7881,20.0,0.001
99,0.011418561451137066,0.7887,20.0,0.001
