epoch, distortion_loss, perception_loss, rate, lambda
4,0.017790498211979866,0.2448941320180893,16.0,0.001
9,0.016708610579371452,0.08818358182907104,16.0,0.001
14,0.015960320830345154,0.1700541228055954,16.0,0.001
19,0.015374946407973766,0.07021976262331009,16.0,0.001
24,0.01471029780805111,0.13206163048744202,16.0,0.001
29,0.01471714023500681,0.16987700760364532,16.0,0.001
34,0.014664177782833576,0.07255232334136963,16.0,0.001
39,0.014494423754513264,0.08152380585670471,16.0,0.001
44,0.014462261460721493,0.07016771286725998,16.0,0.001
49,0.014420684427022934,0.0545995719730854,16.0,0.001
54,0.01453500334173441,0.060756973922252655,16.0,0.001
59,0.01442371029406786,0.059165336191654205,16.0,0.001
64,0.01449641678482294,0.06482278555631638,16.0,0.001
69,0.014506904408335686,0.08104947209358215,16.0,0.001
74,0.014404777437448502,0.07760739326477051,16.0,0.001
79,0.014422808773815632,0.08607905358076096,16.0,0.001
84,0.014385436661541462,0.07274312525987625,16.0,0.001
89,0.014463790692389011,0.058563604950904846,16.0,0.001
94,0.01457030326128006,0.049460217356681824,16.0,0.001
99,0.014397422783076763,0.06943846493959427,16.0,0.001
