epoch,distortion_loss,accuracy, rate, lambda
4,0.017790498211979866,0.6774,16.0,0.001
9,0.016708610579371452,0.7194,16.0,0.001
14,0.015960320830345154,0.7329,16.0,0.001
19,0.015374946407973766,0.7373,16.0,0.001
24,0.01471029780805111,0.7539,16.0,0.001
29,0.01471714023500681,0.7539,16.0,0.001
34,0.014664177782833576,0.7598,16.0,0.001
39,0.014494423754513264,0.7593,16.0,0.001
44,0.014462261460721493,0.7643,16.0,0.001
49,0.014420684427022934,0.7568,16.0,0.001
54,0.01453500334173441,0.76,16.0,0.001
59,0.01442371029406786,0.7621,16.0,0.001
64,0.01449641678482294,0.7656,16.0,0.001
69,0.014506904408335686,0.7654,16.0,0.001
74,0.014404777437448502,0.759,16.0,0.001
79,0.014422808773815632,0.7627,16.0,0.001
84,0.014385436661541462,0.7624,16.0,0.001
89,0.014463790692389011,0.764,16.0,0.001
94,0.01457030326128006,0.7599,16.0,0.001
99,0.014397422783076763,0.7624,16.0,0.001
