epoch,distortion_loss,cross_entropy_loss, rate, lambda
4,0.013665592297911644,0.8311319947242737,24.0,0.001
9,0.01172650046646595,0.7468081116676331,24.0,0.001
14,0.010866198688745499,0.6832959651947021,24.0,0.001
19,0.010304407216608524,0.6233689188957214,24.0,0.001
24,0.009815232828259468,0.6208743453025818,24.0,0.001
29,0.009665388613939285,0.6153053641319275,24.0,0.001
34,0.009795174933969975,0.5848466753959656,24.0,0.001
39,0.009619776159524918,0.5895793437957764,24.0,0.001
44,0.00948233064264059,0.5876173973083496,24.0,0.001
49,0.00946062058210373,0.5816543102264404,24.0,0.001
54,0.009512782096862793,0.5791302919387817,24.0,0.001
59,0.009486101567745209,0.5784235000610352,24.0,0.001
64,0.00945325754582882,0.5602911710739136,24.0,0.001
69,0.009469334967434406,0.5583358407020569,24.0,0.001
74,0.009450981393456459,0.5609623193740845,24.0,0.001
79,0.00947742722928524,0.554936408996582,24.0,0.001
84,0.0094509432092309,0.5549046397209167,24.0,0.001
89,0.009453920647501945,0.5559350848197937,24.0,0.001
94,0.009470352903008461,0.5575265288352966,24.0,0.001
99,0.009458841755986214,0.5577549338340759,24.0,0.001
