epoch,distortion_loss,accuracy, rate, lambda
4,0.013665592297911644,0.7216,24.0,0.001
9,0.01172650046646595,0.7461,24.0,0.001
14,0.010866198688745499,0.7681,24.0,0.001
19,0.010304407216608524,0.791,24.0,0.001
24,0.009815232828259468,0.7862,24.0,0.001
29,0.009665388613939285,0.7876,24.0,0.001
34,0.009795174933969975,0.803,24.0,0.001
39,0.009619776159524918,0.7975,24.0,0.001
44,0.00948233064264059,0.7973,24.0,0.001
49,0.00946062058210373,0.7987,24.0,0.001
54,0.009512782096862793,0.8,24.0,0.001
59,0.009486101567745209,0.7992,24.0,0.001
64,0.00945325754582882,0.8085,24.0,0.001
69,0.009469334967434406,0.8061,24.0,0.001
74,0.009450981393456459,0.8063,24.0,0.001
79,0.00947742722928524,0.8088,24.0,0.001
84,0.0094509432092309,0.8105,24.0,0.001
89,0.009453920647501945,0.8056,24.0,0.001
94,0.009470352903008461,0.8046,24.0,0.001
99,0.009458841755986214,0.8073,24.0,0.001
