epoch,distortion_loss,perception_loss,rate,lambda
4,0.03532799705862999,2.9482948780059814,4.0,0.001
9,0.03514736518263817,2.814343214035034,4.0,0.001
14,0.03433343395590782,2.9280319213867188,4.0,0.001
19,0.03410103917121887,3.0295298099517822,4.0,0.001
24,0.03354161977767944,3.143455982208252,4.0,0.001
29,0.033493202179670334,3.227668285369873,4.0,0.001
34,0.03345806151628494,3.1770877838134766,4.0,0.001
39,0.03351861983537674,3.158221960067749,4.0,0.001
44,0.03336142376065254,3.2077202796936035,4.0,0.001
49,0.033177878707647324,3.211634874343872,4.0,0.001
