epoch,distortion_loss,accuracy,rate,lambda
4,0.053723715245723724,0.8523,24.0,0.05
9,0.046209871768951416,0.8928,24.0,0.05
14,0.04863951727747917,0.9051,24.0,0.05
19,0.049339111894369125,0.9099,24.0,0.05
24,0.04673335701227188,0.9217,24.0,0.05
29,0.04727765917778015,0.9203,24.0,0.05
34,0.045863162726163864,0.9241,24.0,0.05
39,0.0469556599855423,0.9238,24.0,0.05
44,0.04720880463719368,0.9261,24.0,0.05
49,0.04708617180585861,0.9279,24.0,0.05
54,0.046852122992277145,0.9243,24.0,0.05
59,0.046108514070510864,0.9252,24.0,0.05
64,0.04698002338409424,0.9255,24.0,0.05
69,0.046718351542949677,0.9289,24.0,0.05
74,0.046030838042497635,0.9276,24.0,0.05
79,0.04675056412816048,0.9285,24.0,0.05
84,0.04663386940956116,0.9287,24.0,0.05
89,0.046825189143419266,0.9272,24.0,0.05
94,0.046683333814144135,0.929,24.0,0.05
99,0.047144901007413864,0.9309,24.0,0.05
