epoch,distortion_loss,accuracy, rate, lambda
4,0.011640236712992191,0.7287,28.0,0.001
9,0.010429744608700275,0.7702,28.0,0.001
14,0.009026342071592808,0.7907,28.0,0.001
19,0.00915011391043663,0.7957,28.0,0.001
24,0.0082388985902071,0.8028,28.0,0.001
29,0.008226235397160053,0.8097,28.0,0.001
34,0.008048596791923046,0.82,28.0,0.001
39,0.008005286566913128,0.8158,28.0,0.001
44,0.00796417985111475,0.8172,28.0,0.001
49,0.007925822399556637,0.8199,28.0,0.001
54,0.007972841151058674,0.8182,28.0,0.001
59,0.007966350764036179,0.821,28.0,0.001
64,0.007946869358420372,0.8249,28.0,0.001
69,0.007911439053714275,0.8234,28.0,0.001
74,0.007911679334938526,0.8207,28.0,0.001
79,0.007922329939901829,0.8295,28.0,0.001
84,0.007929490879178047,0.8256,28.0,0.001
89,0.00791647844016552,0.8236,28.0,0.001
94,0.007876971736550331,0.823,28.0,0.001
99,0.007870122790336609,0.826,28.0,0.001
