epoch, distortion_loss, perception_loss, rate, lambda
4,0.03573112562298775,2.9036519527435303,4.0,0.001
9,0.034928757697343826,2.925348997116089,4.0,0.001
14,0.03442902863025665,3.0268867015838623,4.0,0.001
19,0.03385766223073006,3.1162211894989014,4.0,0.001
24,0.03363468870520592,3.259906530380249,4.0,0.001
29,0.033630989491939545,3.331001043319702,4.0,0.001
34,0.03354800492525101,3.4290616512298584,4.0,0.001
39,0.0334511362016201,3.3013992309570312,4.0,0.001
44,0.0333084762096405,3.398803472518921,4.0,0.001
49,0.03338220342993736,3.4124808311462402,4.0,0.001
54,0.03348172456026077,3.415889024734497,4.0,0.001
59,0.03336348012089729,3.3944694995880127,4.0,0.001
64,0.03336183726787567,3.399580478668213,4.0,0.001
69,0.03342300280928612,3.410067558288574,4.0,0.001
74,0.033340152353048325,3.4108729362487793,4.0,0.001
79,0.03334452211856842,3.415902614593506,4.0,0.001
84,0.03335769101977348,3.415733575820923,4.0,0.001
89,0.033338215202093124,3.416956663131714,4.0,0.001
94,0.0333687923848629,3.4289584159851074,4.0,0.001
99,0.03340362012386322,3.4413444995880127,4.0,0.001
