epoch,distortion_loss,cross_entropy_loss,rate,lambda
4,0.07073330879211426,0.6420451998710632,8.0,0.05
9,0.05328616872429848,0.4737617075443268,8.0,0.05
14,0.06770322471857071,0.39445242285728455,8.0,0.05
19,0.06076189503073692,0.3610090911388397,8.0,0.05
24,0.05593404918909073,0.3338020443916321,8.0,0.05
29,0.058654483407735825,0.33304059505462646,8.0,0.05
34,0.05776199698448181,0.3238096237182617,8.0,0.05
39,0.05764215067028999,0.3128737807273865,8.0,0.05
44,0.05889799818396568,0.3110019266605377,8.0,0.05
49,0.05842131748795509,0.30905479192733765,8.0,0.05
54,0.05966218188405037,0.30806463956832886,8.0,0.05
59,0.05900678038597107,0.30770546197891235,8.0,0.05
64,0.05796574428677559,0.31717976927757263,8.0,0.05
69,0.059281125664711,0.30384740233421326,8.0,0.05
74,0.05874929204583168,0.3134140372276306,8.0,0.05
79,0.05897275730967522,0.30912506580352783,8.0,0.05
84,0.06027289852499962,0.30444884300231934,8.0,0.05
89,0.059718746691942215,0.2938358783721924,8.0,0.05
94,0.05927600711584091,0.3010660707950592,8.0,0.05
99,0.06030581519007683,0.3079277276992798,8.0,0.05
