epoch,distortion_loss,accuracy,rate,lambda
4,0.07073330879211426,0.7975,8.0,0.05
9,0.05328616872429848,0.8612,8.0,0.05
14,0.06770322471857071,0.8874,8.0,0.05
19,0.06076189503073692,0.8992,8.0,0.05
24,0.05593404918909073,0.9041,8.0,0.05
29,0.058654483407735825,0.9069,8.0,0.05
34,0.05776199698448181,0.9086,8.0,0.05
39,0.05764215067028999,0.9122,8.0,0.05
44,0.05889799818396568,0.9119,8.0,0.05
49,0.05842131748795509,0.9134,8.0,0.05
54,0.05966218188405037,0.914,8.0,0.05
59,0.05900678038597107,0.9143,8.0,0.05
64,0.05796574428677559,0.9127,8.0,0.05
69,0.059281125664711,0.9153,8.0,0.05
74,0.05874929204583168,0.9127,8.0,0.05
79,0.05897275730967522,0.9124,8.0,0.05
84,0.06027289852499962,0.9153,8.0,0.05
89,0.059718746691942215,0.9178,8.0,0.05
94,0.05927600711584091,0.9148,8.0,0.05
99,0.06030581519007683,0.9158,8.0,0.05
