epoch,distortion_loss,accuracy,rate,lambda
4,0.05189363285899162,0.8736,20.0,0.05
9,0.04602111503481865,0.8908,20.0,0.05
14,0.04820140078663826,0.903,20.0,0.05
19,0.048114340752363205,0.9156,20.0,0.05
24,0.04812115803360939,0.922,20.0,0.05
29,0.0474148653447628,0.9221,20.0,0.05
34,0.047294143587350845,0.9231,20.0,0.05
39,0.04993167147040367,0.927,20.0,0.05
44,0.048100393265485764,0.9247,20.0,0.05
49,0.0477391853928566,0.9232,20.0,0.05
54,0.0479353703558445,0.9258,20.0,0.05
59,0.048338502645492554,0.9294,20.0,0.05
64,0.04751932993531227,0.9303,20.0,0.05
69,0.04724109545350075,0.9293,20.0,0.05
74,0.04752130061388016,0.9286,20.0,0.05
79,0.047660019248723984,0.9278,20.0,0.05
84,0.04791055619716644,0.9274,20.0,0.05
89,0.04774126783013344,0.9267,20.0,0.05
94,0.04772785305976868,0.9267,20.0,0.05
99,0.04773442819714546,0.9309,20.0,0.05
