epoch,distortion_loss,perception_loss,rate,lambda
4,0.05189363285899162,-1.4061998128890991,20.0,0.05
9,0.04602111503481865,-1.9668493270874023,20.0,0.05
14,0.04820140078663826,-1.697847843170166,20.0,0.05
19,0.048114340752363205,-1.989364743232727,20.0,0.05
24,0.04812115803360939,-2.034044027328491,20.0,0.05
29,0.0474148653447628,-2.0287530422210693,20.0,0.05
34,0.047294143587350845,-2.0682592391967773,20.0,0.05
39,0.04993167147040367,-1.991234302520752,20.0,0.05
44,0.048100393265485764,-2.023231029510498,20.0,0.05
49,0.0477391853928566,-2.0453484058380127,20.0,0.05
54,0.0479353703558445,-2.002110004425049,20.0,0.05
59,0.048338502645492554,-2.0409669876098633,20.0,0.05
64,0.04751932993531227,-2.023707151412964,20.0,0.05
69,0.04724109545350075,-1.996061086654663,20.0,0.05
74,0.04752130061388016,-1.9930965900421143,20.0,0.05
79,0.047660019248723984,-1.9732275009155273,20.0,0.05
84,0.04791055619716644,-1.9683421850204468,20.0,0.05
89,0.04774126783013344,-1.9921009540557861,20.0,0.05
94,0.04772785305976868,-1.9935259819030762,20.0,0.05
99,0.04773442819714546,-2.018765449523926,20.0,0.05
