epoch,distortion_loss,perception_loss,rate,lambda
4,0.018323160707950592,-1.2501362562179565,120.0,0.01
9,0.014522775076329708,-0.6907607913017273,120.0,0.01
14,0.1664472371339798,-17.51593017578125,120.0,0.01
19,0.020208649337291718,-0.4749682545661926,120.0,0.01
24,0.015135989524424076,-1.1189591884613037,120.0,0.01
29,0.013453168794512749,-0.817423939704895,120.0,0.01
34,0.011755854822695255,-0.4652380049228668,120.0,0.01
39,0.012365352362394333,-0.3676220774650574,120.0,0.01
44,0.01201716624200344,-0.4487225413322449,120.0,0.01
49,0.012272490188479424,-0.4855709373950958,120.0,0.01
54,0.01204406563192606,-0.3529154360294342,120.0,0.01
59,0.011936469003558159,-0.5020114779472351,120.0,0.01
64,0.011873713694512844,-0.5166576504707336,120.0,0.01
69,0.012445413507521152,-0.5424364805221558,120.0,0.01
74,0.012842424213886261,-0.4878266155719757,120.0,0.01
79,0.012742266058921814,-0.47829654812812805,120.0,0.01
84,0.012447184883058071,-0.732896625995636,120.0,0.01
89,0.012364151887595654,-0.6572805643081665,120.0,0.01
94,0.012509198859333992,-0.6866554617881775,120.0,0.01
99,0.012335137464106083,-0.6735572814941406,120.0,0.01
