epoch,distortion_loss,accuracy,rate,lambda
4,0.018323160707950592,0.5023816840811309,120.0,0.01
9,0.014522775076329708,0.5873540258143823,120.0,0.01
14,0.1664472371339798,0.10029963122311002,120.0,0.01
19,0.020208649337291718,0.5626152427781193,120.0,0.01
24,0.015135989524424076,0.6379840196681008,120.0,0.01
29,0.013453168794512749,0.6499692685925015,120.0,0.01
34,0.011755854822695255,0.660341118623233,120.0,0.01
39,0.012365352362394333,0.6915719114935464,120.0,0.01
44,0.01201716624200344,0.7150814382298709,120.0,0.01
49,0.012272490188479424,0.713160725261217,120.0,0.01
54,0.01204406563192606,0.7234557467732022,120.0,0.01
59,0.011936469003558159,0.7168869084204057,120.0,0.01
64,0.011873713694512844,0.7130454824830977,120.0,0.01
69,0.012445413507521152,0.7195759065765212,120.0,0.01
74,0.012842424213886261,0.7125460971112477,120.0,0.01
79,0.012742266058921814,0.7151966810079902,120.0,0.01
84,0.012447184883058071,0.7163491087891826,120.0,0.01
89,0.012364151887595654,0.7165795943454211,120.0,0.01
94,0.012509198859333992,0.7181929932390904,120.0,0.01
99,0.012335137464106083,0.7159265519360787,120.0,0.01
