epoch,distortion_loss,accuracy,rate,lambda
4,0.03050939552485943,0.19414566687154272,4.0,0.003
9,0.028549177572131157,0.1977181929932391,4.0,0.003
14,0.029022762551903725,0.19718039336201598,4.0,0.003
19,0.029732225462794304,0.19833282114320835,4.0,0.003
24,0.02932881750166416,0.19779502151198525,4.0,0.003
29,0.029054349288344383,0.198640135218193,4.0,0.003
34,0.029257353395223618,0.19760295021511987,4.0,0.003
39,0.029256068170070648,0.1993700061462815,4.0,0.003
44,0.02900834009051323,0.1975261216963737,4.0,0.003
49,0.029230676591396332,0.1984096496619545,4.0,0.003
54,0.029360411688685417,0.1993700061462815,4.0,0.003
59,0.029271667823195457,0.198640135218193,4.0,0.003
64,0.029215987771749496,0.19764136447449293,4.0,0.003
69,0.029340794309973717,0.19779502151198525,4.0,0.003
74,0.02922198735177517,0.19671942224953903,4.0,0.003
79,0.029082059860229492,0.19871696373693915,4.0,0.003
84,0.028919702395796776,0.19910110633066994,4.0,0.003
89,0.028908127918839455,0.19721880762138905,4.0,0.003
94,0.028946779668331146,0.19721880762138905,4.0,0.003
99,0.028767172247171402,0.1972956361401352,4.0,0.003
