epoch,distortion_loss,accuracy, rate, lambda
4,0.012986346147954464,0.6949,24.0,0.001
9,0.012031670659780502,0.7422,24.0,0.001
14,0.011315918527543545,0.7707,24.0,0.001
19,0.010163730941712856,0.7786,24.0,0.001
24,0.009755304083228111,0.7943,24.0,0.001
29,0.009671073406934738,0.7909,24.0,0.001
34,0.009581283666193485,0.7954,24.0,0.001
39,0.009644519537687302,0.7967,24.0,0.001
44,0.009461848996579647,0.8013,24.0,0.001
49,0.009488068521022797,0.8027,24.0,0.001
54,0.009442011825740337,0.803,24.0,0.001
59,0.009474371559917927,0.8054,24.0,0.001
64,0.009440275840461254,0.804,24.0,0.001
69,0.009419279173016548,0.7997,24.0,0.001
74,0.009397548623383045,0.7993,24.0,0.001
79,0.00943595077842474,0.8043,24.0,0.001
84,0.009375669062137604,0.8066,24.0,0.001
89,0.009397356770932674,0.8078,24.0,0.001
94,0.009361887350678444,0.8096,24.0,0.001
99,0.009423279203474522,0.8083,24.0,0.001
