epoch,distortion_loss,perception_loss,rate,lambda
4,0.01833304576575756,1.75861394405365,32.0,0.003
9,0.017377911135554314,1.7788450717926025,32.0,0.003
14,0.01762186363339424,1.726311445236206,32.0,0.003
19,0.017109328880906105,1.8520276546478271,32.0,0.003
24,0.017078930512070656,1.4578455686569214,32.0,0.003
29,0.016864268109202385,1.4149045944213867,32.0,0.003
34,0.017038967460393906,1.5450949668884277,32.0,0.003
39,0.016758844256401062,1.5148310661315918,32.0,0.003
44,0.016598615795373917,1.4438461065292358,32.0,0.003
49,0.016621148213744164,1.4645360708236694,32.0,0.003
54,0.016612401232123375,1.5269131660461426,32.0,0.003
59,0.01659867912530899,1.2774107456207275,32.0,0.003
64,0.016594121232628822,1.2842376232147217,32.0,0.003
69,0.01649240218102932,1.1826590299606323,32.0,0.003
74,0.016514157876372337,1.2200809717178345,32.0,0.003
79,0.01658092625439167,1.4029817581176758,32.0,0.003
84,0.016662374138832092,1.3998404741287231,32.0,0.003
89,0.016520027071237564,1.4033708572387695,32.0,0.003
94,0.01643114909529686,1.353827714920044,32.0,0.003
99,0.016774483025074005,1.4040857553482056,32.0,0.003
