epoch,distortion_loss,cross_entropy_loss,rate,lambda
4,0.01833304576575756,1.4772928953170776,32.0,0.003
9,0.017377911135554314,1.2639654874801636,32.0,0.003
14,0.01762186363339424,1.149755597114563,32.0,0.003
19,0.017109328880906105,1.0623985528945923,32.0,0.003
24,0.017078930512070656,0.9320301413536072,32.0,0.003
29,0.016864268109202385,0.9056513905525208,32.0,0.003
34,0.017038967460393906,0.8676040172576904,32.0,0.003
39,0.016758844256401062,0.7967982888221741,32.0,0.003
44,0.016598615795373917,0.7708719968795776,32.0,0.003
49,0.016621148213744164,0.7715349793434143,32.0,0.003
54,0.016612401232123375,0.755263090133667,32.0,0.003
59,0.01659867912530899,0.7656809091567993,32.0,0.003
64,0.016594121232628822,0.7514289617538452,32.0,0.003
69,0.01649240218102932,0.751761794090271,32.0,0.003
74,0.016514157876372337,0.7619373798370361,32.0,0.003
79,0.01658092625439167,0.7448283433914185,32.0,0.003
84,0.016662374138832092,0.7812488675117493,32.0,0.003
89,0.016520027071237564,0.7464886903762817,32.0,0.003
94,0.01643114909529686,0.7450188994407654,32.0,0.003
99,0.016774483025074005,0.7422780394554138,32.0,0.003
