epoch,distortion_loss,cross_entropy_loss,rate,lambda
4,0.020681625232100487,1.9800426959991455,40.0,0.03
9,0.018956977874040604,1.7377541065216064,40.0,0.03
14,0.019731204956769943,1.6799838542938232,40.0,0.03
19,0.02156403847038746,1.6902073621749878,40.0,0.03
24,0.019308339804410934,1.5795584917068481,40.0,0.03
29,0.01931404136121273,1.6132456064224243,40.0,0.03
34,0.020657477900385857,1.609999656677246,40.0,0.03
39,0.018873335793614388,1.540682315826416,40.0,0.03
44,0.01868097111582756,1.5410571098327637,40.0,0.03
49,0.018863841891288757,1.5427722930908203,40.0,0.03
54,0.01885845512151718,1.5212594270706177,40.0,0.03
59,0.018315663561224937,1.510197401046753,40.0,0.03
64,0.018450278788805008,1.5115056037902832,40.0,0.03
69,0.019130755215883255,1.5100077390670776,40.0,0.03
74,0.018936224281787872,1.4847469329833984,40.0,0.03
79,0.018917566165328026,1.5168671607971191,40.0,0.03
84,0.018673036247491837,1.4889837503433228,40.0,0.03
89,0.018180709332227707,1.4802074432373047,40.0,0.03
94,0.01823297329246998,1.4903470277786255,40.0,0.03
99,0.018868714570999146,1.4754949808120728,40.0,0.03
