epoch,distortion_loss,perception_loss,rate,lambda
4,0.016696766018867493,-0.5130544900894165,100.0,0.03
9,0.014259226620197296,-0.2129596769809723,100.0,0.03
14,0.013769281096756458,-0.19441856443881989,100.0,0.03
19,0.014238376170396805,-0.30468714237213135,100.0,0.03
24,0.01581837423145771,-0.39153239130973816,100.0,0.03
29,0.0156012624502182,0.028234288096427917,100.0,0.03
34,0.014623480848968029,-0.10347854346036911,100.0,0.03
39,0.014207364991307259,-0.0623752735555172,100.0,0.03
44,0.01382653508335352,-0.251435786485672,100.0,0.03
49,0.013861089013516903,-0.2041318118572235,100.0,0.03
54,0.013645173981785774,-0.3716639578342438,100.0,0.03
59,0.013085998594760895,-0.25641903281211853,100.0,0.03
64,0.013256356120109558,-0.1787857711315155,100.0,0.03
69,0.01402268186211586,-0.39119815826416016,100.0,0.03
74,0.013212650083005428,-0.1881205290555954,100.0,0.03
79,0.013300353661179543,-0.18969719111919403,100.0,0.03
84,0.01292940229177475,-0.14765675365924835,100.0,0.03
89,0.013465601950883865,-0.28286489844322205,100.0,0.03
94,0.013316147960722446,-0.1792488843202591,100.0,0.03
99,0.013235658407211304,-0.39543822407722473,100.0,0.03
