epoch,distortion_loss,accuracy, rate, lambda
4,0.02154523879289627,0.6572,12.0,0.001
9,0.01982627436518669,0.7069,12.0,0.001
14,0.019470348954200745,0.7153,12.0,0.001
19,0.019050605595111847,0.7212,12.0,0.001
24,0.018358109518885612,0.732,12.0,0.001
29,0.01839948631823063,0.7306,12.0,0.001
34,0.01818746142089367,0.7374,12.0,0.001
39,0.018246587365865707,0.7366,12.0,0.001
44,0.018039843067526817,0.7382,12.0,0.001
49,0.01813497021794319,0.7346,12.0,0.001
54,0.018040360882878304,0.7421,12.0,0.001
59,0.018087102100253105,0.7441,12.0,0.001
64,0.018077515065670013,0.7386,12.0,0.001
69,0.018063265830278397,0.7402,12.0,0.001
74,0.01813548430800438,0.7437,12.0,0.001
79,0.01805943436920643,0.7423,12.0,0.001
84,0.01809234730899334,0.7417,12.0,0.001
89,0.0180581733584404,0.7445,12.0,0.001
94,0.0179855115711689,0.7426,12.0,0.001
99,0.017938140779733658,0.7447,12.0,0.001
