epoch, distortion_loss, perception_loss, rate, lambda
4,0.02154523879289627,0.3916512131690979,12.0,0.001
9,0.01982627436518669,0.36179423332214355,12.0,0.001
14,0.019470348954200745,0.3532472848892212,12.0,0.001
19,0.019050605595111847,0.2990744113922119,12.0,0.001
24,0.018358109518885612,0.3571809232234955,12.0,0.001
29,0.01839948631823063,0.3257445693016052,12.0,0.001
34,0.01818746142089367,0.33268266916275024,12.0,0.001
39,0.018246587365865707,0.30505016446113586,12.0,0.001
44,0.018039843067526817,0.3219633996486664,12.0,0.001
49,0.01813497021794319,0.3241560161113739,12.0,0.001
54,0.018040360882878304,0.31874099373817444,12.0,0.001
59,0.018087102100253105,0.3230634331703186,12.0,0.001
64,0.018077515065670013,0.3191521465778351,12.0,0.001
69,0.018063265830278397,0.3060068190097809,12.0,0.001
74,0.01813548430800438,0.31686416268348694,12.0,0.001
79,0.01805943436920643,0.32382097840309143,12.0,0.001
84,0.01809234730899334,0.2876577377319336,12.0,0.001
89,0.0180581733584404,0.29031315445899963,12.0,0.001
94,0.0179855115711689,0.2981732487678528,12.0,0.001
99,0.017938140779733658,0.29710930585861206,12.0,0.001
