epoch,distortion_loss,perception_loss,rate,lambda
4,0.022020038217306137,0.43348902463912964,12.0,0.001
9,0.02138674445450306,0.39070749282836914,12.0,0.001
14,0.01967758685350418,0.29956695437431335,12.0,0.001
19,0.01907089352607727,0.3582753837108612,12.0,0.001
24,0.01849074475467205,0.31378111243247986,12.0,0.001
29,0.018531734123826027,0.29525595903396606,12.0,0.001
34,0.01831793412566185,0.28367847204208374,12.0,0.001
39,0.018235204741358757,0.29821571707725525,12.0,0.001
44,0.018094521015882492,0.3108498454093933,12.0,0.001
49,0.0181199312210083,0.31287306547164917,12.0,0.001
