epoch,distortion_loss,perception_loss,rate,lambda
4,0.02135213278234005,0.4270039498806,12.0,0.001
9,0.019746679812669754,0.36601975560188293,12.0,0.001
14,0.019709650427103043,0.3122662901878357,12.0,0.001
19,0.018906984478235245,0.2813650071620941,12.0,0.001
24,0.018295273184776306,0.32198968529701233,12.0,0.001
29,0.018205605447292328,0.3236123025417328,12.0,0.001
34,0.01813642308115959,0.2960805594921112,12.0,0.001
39,0.018173474818468094,0.2416905164718628,12.0,0.001
44,0.01806793361902237,0.2568945288658142,12.0,0.001
49,0.018033498898148537,0.27938657999038696,12.0,0.001
