epoch,distortion_loss,accuracy, rate, lambda
4,0.021675461903214455,0.6515,12.0,0.001
9,0.020108474418520927,0.6874,12.0,0.001
14,0.019468165934085846,0.7169,12.0,0.001
19,0.01904553920030594,0.7309,12.0,0.001
24,0.018516795709729195,0.7322,12.0,0.001
29,0.01837996207177639,0.7346,12.0,0.001
34,0.01836949773132801,0.7358,12.0,0.001
39,0.01818234659731388,0.7323,12.0,0.001
44,0.01824367232620716,0.7421,12.0,0.001
49,0.018233470618724823,0.7333,12.0,0.001
54,0.01811613328754902,0.7312,12.0,0.001
59,0.018215393647551537,0.7391,12.0,0.001
64,0.018202947452664375,0.737,12.0,0.001
69,0.018207887187600136,0.7405,12.0,0.001
74,0.018203584477305412,0.742,12.0,0.001
79,0.018107376992702484,0.741,12.0,0.001
84,0.018267035484313965,0.738,12.0,0.001
89,0.018027950078248978,0.7435,12.0,0.001
94,0.01817004196345806,0.736,12.0,0.001
99,0.01816241629421711,0.7428,12.0,0.001
