epoch,distortion_loss,perception_loss,rate,lambda
4,0.022654347121715546,-1.4504731893539429,30.0,0.03
9,0.017903437837958336,-0.4290546178817749,30.0,0.03
14,0.018457304686307907,-0.4861975610256195,30.0,0.03
19,0.019451649859547615,-0.6479384899139404,30.0,0.03
24,0.018286207690835,-0.5637046098709106,30.0,0.03
29,0.019492287188768387,-0.35822680592536926,30.0,0.03
34,0.02296866662800312,-0.16890326142311096,30.0,0.03
39,0.023381561040878296,-0.4227558970451355,30.0,0.03
44,0.020087501034140587,-0.4716130793094635,30.0,0.03
49,0.019545765593647957,-0.25892239809036255,30.0,0.03
54,0.02133733406662941,-0.5477144718170166,30.0,0.03
59,0.02061678096652031,-0.5034775137901306,30.0,0.03
64,0.019549215212464333,-0.15725469589233398,30.0,0.03
69,0.020289218053221703,-0.3029760718345642,30.0,0.03
74,0.019918395206332207,-0.5620055794715881,30.0,0.03
79,0.019949575886130333,-0.6122539043426514,30.0,0.03
84,0.01894647628068924,-0.30435827374458313,30.0,0.03
89,0.01937376894056797,-0.5215651392936707,30.0,0.03
94,0.019231894984841347,-0.5294627547264099,30.0,0.03
99,0.01956157758831978,-0.28111785650253296,30.0,0.03
