epoch,distortion_loss,perception_loss,rate,lambda
4,0.021582525223493576,0.4960465729236603,12.0,0.001
9,0.020411863923072815,0.3894672691822052,12.0,0.001
14,0.019574323669075966,0.35138434171676636,12.0,0.001
19,0.020347608253359795,0.24207192659378052,12.0,0.001
24,0.018609076738357544,0.3123614490032196,12.0,0.001
29,0.018350036814808846,0.29384511709213257,12.0,0.001
34,0.01823081448674202,0.27828726172447205,12.0,0.001
39,0.018465140834450722,0.28835761547088623,12.0,0.001
44,0.01810113526880741,0.28607669472694397,12.0,0.001
49,0.018125589936971664,0.28627124428749084,12.0,0.001
54,0.018063370138406754,0.2870802581310272,12.0,0.001
59,0.018078794702887535,0.2970763146877289,12.0,0.001
64,0.018102791160345078,0.29035359621047974,12.0,0.001
69,0.01810661144554615,0.2841302454471588,12.0,0.001
74,0.01810326613485813,0.2809828817844391,12.0,0.001
79,0.018154093995690346,0.28707367181777954,12.0,0.001
84,0.018066147342324257,0.28744786977767944,12.0,0.001
89,0.01811865158379078,0.27421408891677856,12.0,0.001
94,0.018056003376841545,0.2981688380241394,12.0,0.001
99,0.017983729019761086,0.280513733625412,12.0,0.001
