epoch,distortion_loss,perception_loss,rate,lambda
4,0.05589570105075836,-1.8358583450317383,12.0,0.05
9,0.05331885814666748,-1.6794421672821045,12.0,0.05
14,0.046105388551950455,-1.5488784313201904,12.0,0.05
19,0.06376788020133972,-0.9185988306999207,12.0,0.05
24,0.05832739546895027,-2.050217628479004,12.0,0.05
29,0.057394616305828094,-1.7258570194244385,12.0,0.05
34,0.05537944287061691,-1.5980206727981567,12.0,0.05
39,0.05067022144794464,-1.5760722160339355,12.0,0.05
44,0.053201403468847275,-1.7163630723953247,12.0,0.05
49,0.054140057414770126,-1.7874119281768799,12.0,0.05
54,0.054238345474004745,-1.8228236436843872,12.0,0.05
59,0.05269861966371536,-1.8176450729370117,12.0,0.05
64,0.05315249040722847,-1.8368544578552246,12.0,0.05
69,0.05334904044866562,-1.8316887617111206,12.0,0.05
74,0.054565995931625366,-1.8454089164733887,12.0,0.05
79,0.05395734682679176,-1.8373656272888184,12.0,0.05
84,0.05245085433125496,-1.8330130577087402,12.0,0.05
89,0.05385565757751465,-1.8348394632339478,12.0,0.05
94,0.05439061298966408,-1.8705905675888062,12.0,0.05
99,0.05349324643611908,-1.8551175594329834,12.0,0.05
