epoch,distortion_loss,perception_loss,rate,lambda
4,0.018972644582390785,0.3968232572078705,32.0,0.003
9,0.017319686710834503,1.1877018213272095,32.0,0.003
14,0.017100440338253975,1.493077278137207,32.0,0.003
19,0.017702754586935043,1.2586318254470825,32.0,0.003
24,0.017663976177573204,1.5929521322250366,32.0,0.003
29,0.017059823498129845,1.5876826047897339,32.0,0.003
34,0.017156658694148064,1.452906847000122,32.0,0.003
39,0.01688571646809578,1.3248261213302612,32.0,0.003
44,0.016533000394701958,1.2868590354919434,32.0,0.003
49,0.016523633152246475,1.3007320165634155,32.0,0.003
54,0.01661275513470173,1.3262478113174438,32.0,0.003
59,0.01642317697405815,1.4187058210372925,32.0,0.003
64,0.01643698662519455,1.4176899194717407,32.0,0.003
69,0.016446836292743683,1.3680812120437622,32.0,0.003
74,0.016476893797516823,1.3591389656066895,32.0,0.003
79,0.016638576984405518,1.1901545524597168,32.0,0.003
84,0.016438793390989304,1.2849736213684082,32.0,0.003
89,0.016456708312034607,1.3776934146881104,32.0,0.003
94,0.016392473131418228,1.361015796661377,32.0,0.003
99,0.01641208864748478,1.3986140489578247,32.0,0.003
