epoch,distortion_loss,accuracy,rate,lambda
4,0.018972644582390785,0.463160725261217,32.0,0.003
9,0.017319686710834503,0.5651121696373694,32.0,0.003
14,0.017100440338253975,0.615319606637984,32.0,0.003
19,0.017702754586935043,0.6362553779963123,32.0,0.003
24,0.017663976177573204,0.6916103257529195,32.0,0.003
29,0.017059823498129845,0.7032114320835894,32.0,0.003
34,0.017156658694148064,0.7224953902888752,32.0,0.003
39,0.01688571646809578,0.7427781192378611,32.0,0.003
44,0.016533000394701958,0.7478488014751076,32.0,0.003
49,0.016523633152246475,0.754379225568531,32.0,0.003
54,0.01661275513470173,0.7546481253841426,32.0,0.003
59,0.01642317697405815,0.7594499078057775,32.0,0.003
64,0.01643698662519455,0.7551859250153657,32.0,0.003
69,0.016446836292743683,0.7603334357713584,32.0,0.003
74,0.016476893797516823,0.7619468346650277,32.0,0.003
79,0.016638576984405518,0.7637138905961893,32.0,0.003
84,0.016438793390989304,0.7641748617086662,32.0,0.003
89,0.016456708312034607,0.7690534726490473,32.0,0.003
94,0.016392473131418228,0.7621773202212662,32.0,0.003
99,0.01641208864748478,0.7570682237246465,32.0,0.003
