epoch,distortion_loss,accuracy,rate,lambda
4,0.02972223237156868,0.18573294406883836,4.0,0.003
9,0.029086535796523094,0.1958743085433313,4.0,0.003
14,0.029283830896019936,0.1958743085433313,4.0,0.003
19,0.028778543695807457,0.1958743085433313,4.0,0.003
24,0.028782593086361885,0.1958743085433313,4.0,0.003
29,0.029392825439572334,0.1958743085433313,4.0,0.003
34,0.02953493967652321,0.19572065150583898,4.0,0.003
39,0.029516374692320824,0.19568223724646588,4.0,0.003
44,0.029050083830952644,0.1960279655808236,4.0,0.003
49,0.029292354360222816,0.1958743085433313,4.0,0.003
54,0.02938699536025524,0.19683466502765826,4.0,0.003
59,0.028903989121317863,0.19783343577135834,4.0,0.003
64,0.029183965176343918,0.19591272280270436,4.0,0.003
69,0.0292463768273592,0.19994622003687768,4.0,0.003
74,0.02911401353776455,0.20132913337430855,4.0,0.003
79,0.028957974165678024,0.1989858635525507,4.0,0.003
84,0.02925184555351734,0.19910110633066994,4.0,0.003
89,0.02934085950255394,0.19925476336816225,4.0,0.003
94,0.028897646814584732,0.19625845113706208,4.0,0.003
99,0.029022494331002235,0.20198217578365088,4.0,0.003
