epoch,distortion_loss,cross_entropy_loss,rate,lambda
4,0.06615203619003296,2.2291483879089355,10.0,0.03
9,0.061578549444675446,2.2250678539276123,10.0,0.03
14,0.06128370016813278,2.225231647491455,10.0,0.03
19,0.08243181556463242,2.2241742610931396,10.0,0.03
24,0.08320759236812592,2.2237913608551025,10.0,0.03
29,0.10171059519052505,2.224277973175049,10.0,0.03
34,0.07934843003749847,2.2234556674957275,10.0,0.03
39,0.08485640585422516,2.223520040512085,10.0,0.03
44,0.09881708025932312,2.2255923748016357,10.0,0.03
49,0.09227132797241211,2.2239317893981934,10.0,0.03
54,0.10149530321359634,2.2246806621551514,10.0,0.03
59,0.09552861005067825,2.2239038944244385,10.0,0.03
64,0.09550101310014725,2.225417137145996,10.0,0.03
69,0.09875055402517319,2.2241263389587402,10.0,0.03
74,0.09527193009853363,2.2239274978637695,10.0,0.03
79,0.0876091942191124,2.224426746368408,10.0,0.03
84,0.09947708994150162,2.2239129543304443,10.0,0.03
89,0.029719924554228783,2.2248952388763428,10.0,0.03
94,0.02949553169310093,2.1983063220977783,10.0,0.03
99,0.029960880056023598,2.1842310428619385,10.0,0.03
