epoch,distortion_loss,perception_loss,rate,lambda
4,0.021198958158493042,0.4466169774532318,12.0,0.001
9,0.02023259550333023,0.3898554742336273,12.0,0.001
14,0.019571106880903244,0.37180274724960327,12.0,0.001
19,0.01936383731663227,0.3787572979927063,12.0,0.001
24,0.018453266471624374,0.34716886281967163,12.0,0.001
29,0.018453508615493774,0.3391869366168976,12.0,0.001
34,0.01832854561507702,0.32293379306793213,12.0,0.001
39,0.018305713310837746,0.3398522734642029,12.0,0.001
44,0.01818694919347763,0.3385389447212219,12.0,0.001
49,0.018150055781006813,0.32965245842933655,12.0,0.001
54,0.01819744147360325,0.35184356570243835,12.0,0.001
59,0.018164565786719322,0.3343042731285095,12.0,0.001
64,0.01808994449675083,0.31958240270614624,12.0,0.001
69,0.018090784549713135,0.3250008225440979,12.0,0.001
74,0.018154816702008247,0.31535109877586365,12.0,0.001
79,0.01817651465535164,0.31397268176078796,12.0,0.001
84,0.01811266504228115,0.31101760268211365,12.0,0.001
89,0.018106980249285698,0.3140028715133667,12.0,0.001
94,0.018056180328130722,0.32814398407936096,12.0,0.001
99,0.018123876303434372,0.3175997734069824,12.0,0.001
