epoch,distortion_loss,perception_loss,rate,lambda
4,0.05378751829266548,-1.6180436611175537,16.0,0.05
9,0.05097559094429016,-1.6510882377624512,16.0,0.05
14,0.05306564271450043,-1.9534145593643188,16.0,0.05
19,0.05250787362456322,-2.033173084259033,16.0,0.05
24,0.05009476840496063,-1.9479267597198486,16.0,0.05
29,0.04997595027089119,-1.9509917497634888,16.0,0.05
34,0.04838229715824127,-1.9878329038619995,16.0,0.05
39,0.04987901449203491,-2.0642614364624023,16.0,0.05
44,0.04965797811746597,-2.060260057449341,16.0,0.05
49,0.04941897094249725,-2.096867084503174,16.0,0.05
54,0.049301523715257645,-2.0869786739349365,16.0,0.05
59,0.04958773031830788,-2.099402904510498,16.0,0.05
64,0.049300625920295715,-2.1062893867492676,16.0,0.05
69,0.04858013987541199,-2.074075222015381,16.0,0.05
74,0.050261083990335464,-2.081953763961792,16.0,0.05
79,0.05046279355883598,-2.117386817932129,16.0,0.05
84,0.049424704164266586,-2.0984911918640137,16.0,0.05
89,0.04955882579088211,-2.0782651901245117,16.0,0.05
94,0.04976421222090721,-2.089841842651367,16.0,0.05
99,0.04938254505395889,-2.111889600753784,16.0,0.05
