epoch,distortion_loss,accuracy,rate,lambda
4,0.05378751829266548,0.859,16.0,0.05
9,0.05097559094429016,0.8907,16.0,0.05
14,0.05306564271450043,0.8988,16.0,0.05
19,0.05250787362456322,0.9117,16.0,0.05
24,0.05009476840496063,0.9196,16.0,0.05
29,0.04997595027089119,0.9253,16.0,0.05
34,0.04838229715824127,0.9234,16.0,0.05
39,0.04987901449203491,0.9246,16.0,0.05
44,0.04965797811746597,0.9204,16.0,0.05
49,0.04941897094249725,0.9289,16.0,0.05
54,0.049301523715257645,0.9246,16.0,0.05
59,0.04958773031830788,0.9282,16.0,0.05
64,0.049300625920295715,0.9245,16.0,0.05
69,0.04858013987541199,0.9254,16.0,0.05
74,0.050261083990335464,0.9238,16.0,0.05
79,0.05046279355883598,0.9244,16.0,0.05
84,0.049424704164266586,0.9248,16.0,0.05
89,0.04955882579088211,0.9254,16.0,0.05
94,0.04976421222090721,0.9293,16.0,0.05
99,0.04938254505395889,0.9288,16.0,0.05
