epoch,distortion_loss,cross_entropy_loss,rate,lambda
4,0.024923061951994896,2.1510496139526367,8.0,0.003
9,0.026017341762781143,2.1333703994750977,8.0,0.003
14,0.02559281513094902,2.0754554271698,8.0,0.003
19,0.024567488580942154,2.0550246238708496,8.0,0.003
24,0.025584934279322624,2.0649383068084717,8.0,0.003
29,0.025302372872829437,2.029752254486084,8.0,0.003
34,0.024479573592543602,2.006735324859619,8.0,0.003
39,0.024564683437347412,1.9886451959609985,8.0,0.003
44,0.02435937151312828,1.9764209985733032,8.0,0.003
49,0.02440112829208374,1.9825093746185303,8.0,0.003
54,0.024353891611099243,1.9699749946594238,8.0,0.003
59,0.024521222338080406,1.9677178859710693,8.0,0.003
64,0.02457772195339203,1.9658867120742798,8.0,0.003
69,0.024453215301036835,1.9511226415634155,8.0,0.003
74,0.024465709924697876,1.9454985857009888,8.0,0.003
79,0.024564044550061226,1.9469197988510132,8.0,0.003
84,0.024324016645550728,1.9458118677139282,8.0,0.003
89,0.02453966811299324,1.9395853281021118,8.0,0.003
94,0.024449119344353676,1.9359711408615112,8.0,0.003
99,0.024753155186772346,1.9331259727478027,8.0,0.003
