epoch,distortion_loss,perception_loss,rate,lambda
4,0.015244352631270885,-1.2106629610061646,120.0,0.02
9,0.015245050191879272,0.06943201273679733,120.0,0.02
14,0.013619467616081238,-0.06623727828264236,120.0,0.02
19,0.012662670575082302,-0.0601397268474102,120.0,0.02
24,0.01317012682557106,-0.0967111587524414,120.0,0.02
29,0.013421248644590378,-0.17414627969264984,120.0,0.02
34,0.013360152021050453,-0.22150860726833344,120.0,0.02
39,0.0126973707228899,0.02766011282801628,120.0,0.02
44,0.012652159668505192,-0.1855640858411789,120.0,0.02
49,0.012689478695392609,-0.23394770920276642,120.0,0.02
54,0.012366647832095623,-0.2266969382762909,120.0,0.02
59,0.012418294325470924,-0.2103365957736969,120.0,0.02
64,0.012418240308761597,-0.20439404249191284,120.0,0.02
69,0.012589850462973118,-0.19447138905525208,120.0,0.02
74,0.012479415163397789,-0.15273147821426392,120.0,0.02
79,0.01229703240096569,-0.1527400016784668,120.0,0.02
84,0.01209451537579298,-0.18779069185256958,120.0,0.02
89,0.01210733875632286,-0.2286129891872406,120.0,0.02
94,0.012190980836749077,-0.09258750081062317,120.0,0.02
99,0.012633679434657097,-0.11667563766241074,120.0,0.02
