epoch,distortion_loss,accuracy,rate,lambda
4,0.015244352631270885,0.47629840196681006,120.0,0.02
9,0.015245050191879272,0.6174323909035033,120.0,0.02
14,0.013619467616081238,0.6577673632452367,120.0,0.02
19,0.012662670575082302,0.6736324523663184,120.0,0.02
24,0.01317012682557106,0.6931084818684696,120.0,0.02
29,0.013421248644590378,0.6960279655808236,120.0,0.02
34,0.013360152021050453,0.7077059004302397,120.0,0.02
39,0.0126973707228899,0.6971419791026429,120.0,0.02
44,0.012652159668505192,0.7260679164105716,120.0,0.02
49,0.012689478695392609,0.7251075599262446,120.0,0.02
54,0.012366647832095623,0.7219191763982791,120.0,0.02
59,0.012418294325470924,0.7215350338045482,120.0,0.02
64,0.012418240308761597,0.7273740012292563,120.0,0.02
69,0.012589850462973118,0.7369775660725261,120.0,0.02
74,0.012479415163397789,0.7279118008604795,120.0,0.02
79,0.01229703240096569,0.7427397049784881,120.0,0.02
84,0.01209451537579298,0.7445835894283959,120.0,0.02
89,0.01210733875632286,0.7412031346035648,120.0,0.02
94,0.012190980836749077,0.7395513214505224,120.0,0.02
99,0.012633679434657097,0.7410878918254457,120.0,0.02
