epoch,distortion_loss,perception_loss,rate,lambda
4,0.018525686115026474,0.9600411057472229,28.0,0.003
9,0.01808585599064827,1.7565594911575317,28.0,0.003
14,0.017858441919088364,1.5364561080932617,28.0,0.003
19,0.017737168818712234,1.5281190872192383,28.0,0.003
24,0.017575671896338463,1.870566725730896,28.0,0.003
29,0.01752345822751522,1.27594792842865,28.0,0.003
34,0.017789095640182495,1.536821722984314,28.0,0.003
39,0.01743464171886444,1.3562170267105103,28.0,0.003
44,0.017224447801709175,1.3148856163024902,28.0,0.003
49,0.017307842150330544,1.3115816116333008,28.0,0.003
54,0.01718224212527275,1.3629727363586426,28.0,0.003
59,0.017271870747208595,1.1913926601409912,28.0,0.003
64,0.017196405678987503,1.3040739297866821,28.0,0.003
69,0.017283888533711433,1.3751713037490845,28.0,0.003
74,0.017303593456745148,1.2659554481506348,28.0,0.003
79,0.01717173494398594,1.4006140232086182,28.0,0.003
84,0.017460130155086517,1.2499419450759888,28.0,0.003
89,0.01711006835103035,1.2796076536178589,28.0,0.003
94,0.017189770936965942,1.2673659324645996,28.0,0.003
99,0.01726704277098179,1.2377595901489258,28.0,0.003
