epoch,distortion_loss,accuracy,rate,lambda
4,0.04454423487186432,0.8748,32.0,0.05
9,0.047547467052936554,0.9008,32.0,0.05
14,0.045028090476989746,0.9103,32.0,0.05
19,0.043907444924116135,0.9181,32.0,0.05
24,0.044033538550138474,0.9277,32.0,0.05
29,0.04522310197353363,0.9269,32.0,0.05
34,0.04541770741343498,0.9301,32.0,0.05
39,0.04474934935569763,0.9299,32.0,0.05
44,0.0450063981115818,0.9296,32.0,0.05
49,0.04449765384197235,0.9282,32.0,0.05
54,0.04442429542541504,0.9289,32.0,0.05
59,0.044547680765390396,0.9333,32.0,0.05
64,0.044506631791591644,0.9326,32.0,0.05
69,0.044724225997924805,0.9315,32.0,0.05
74,0.04444848373532295,0.932,32.0,0.05
79,0.044490963220596313,0.933,32.0,0.05
84,0.0442764014005661,0.931,32.0,0.05
89,0.044402673840522766,0.9302,32.0,0.05
94,0.04391251131892204,0.9322,32.0,0.05
99,0.045081689953804016,0.9317,32.0,0.05
