epoch,distortion_loss,perception_loss,rate,lambda
4,0.04454423487186432,-1.3873616456985474,32.0,0.05
9,0.047547467052936554,-1.5678560733795166,32.0,0.05
14,0.045028090476989746,-1.9453253746032715,32.0,0.05
19,0.043907444924116135,-1.7677167654037476,32.0,0.05
24,0.044033538550138474,-2.0320398807525635,32.0,0.05
29,0.04522310197353363,-1.9644675254821777,32.0,0.05
34,0.04541770741343498,-1.9678722620010376,32.0,0.05
39,0.04474934935569763,-2.035799264907837,32.0,0.05
44,0.0450063981115818,-2.096785068511963,32.0,0.05
49,0.04449765384197235,-2.0927951335906982,32.0,0.05
54,0.04442429542541504,-2.0717763900756836,32.0,0.05
59,0.044547680765390396,-2.083634853363037,32.0,0.05
64,0.044506631791591644,-2.0604283809661865,32.0,0.05
69,0.044724225997924805,-2.0851619243621826,32.0,0.05
74,0.04444848373532295,-2.0719728469848633,32.0,0.05
79,0.044490963220596313,-2.088886260986328,32.0,0.05
84,0.0442764014005661,-2.0633184909820557,32.0,0.05
89,0.044402673840522766,-2.065620183944702,32.0,0.05
94,0.04391251131892204,-2.059088706970215,32.0,0.05
99,0.045081689953804016,-2.091468095779419,32.0,0.05
