epoch,distortion_loss,cross_entropy_loss,rate,lambda
4,0.04454423487186432,0.397464781999588,32.0,0.05
9,0.047547467052936554,0.32268276810646057,32.0,0.05
14,0.045028090476989746,0.28834134340286255,32.0,0.05
19,0.043907444924116135,0.2725238800048828,32.0,0.05
24,0.044033538550138474,0.2388666868209839,32.0,0.05
29,0.04522310197353363,0.24347785115242004,32.0,0.05
34,0.04541770741343498,0.22912314534187317,32.0,0.05
39,0.04474934935569763,0.23220480978488922,32.0,0.05
44,0.0450063981115818,0.23182953894138336,32.0,0.05
49,0.04449765384197235,0.23320338129997253,32.0,0.05
54,0.04442429542541504,0.23483020067214966,32.0,0.05
59,0.044547680765390396,0.21918514370918274,32.0,0.05
64,0.044506631791591644,0.22683411836624146,32.0,0.05
69,0.044724225997924805,0.2248016744852066,32.0,0.05
74,0.04444848373532295,0.2263220101594925,32.0,0.05
79,0.044490963220596313,0.22798015177249908,32.0,0.05
84,0.0442764014005661,0.22640012204647064,32.0,0.05
89,0.044402673840522766,0.22994603216648102,32.0,0.05
94,0.04391251131892204,0.22737126052379608,32.0,0.05
99,0.045081689953804016,0.22637493908405304,32.0,0.05
