epoch,distortion_loss,cross_entropy_loss,rate,lambda
4,0.0182126946747303,1.7501014471054077,20.0,0.003
9,0.01957472786307335,1.5315824747085571,20.0,0.003
14,0.019991435110569,1.3527095317840576,20.0,0.003
19,0.019721481949090958,1.227404236793518,20.0,0.003
24,0.01971827819943428,1.0737959146499634,20.0,0.003
29,0.019643288105726242,1.0367212295532227,20.0,0.003
34,0.019622361287474632,0.9832631349563599,20.0,0.003
39,0.019223880022764206,0.9346610903739929,20.0,0.003
44,0.019206341356039047,0.8894557356834412,20.0,0.003
49,0.01922699250280857,0.8825891017913818,20.0,0.003
54,0.01916748471558094,0.8747461438179016,20.0,0.003
59,0.019057849422097206,0.8843101859092712,20.0,0.003
64,0.0191351231187582,0.8896659016609192,20.0,0.003
69,0.019084982573986053,0.8639598488807678,20.0,0.003
74,0.019012944772839546,0.8576834797859192,20.0,0.003
79,0.019202297553420067,0.8557680249214172,20.0,0.003
84,0.019035356119275093,0.8690446615219116,20.0,0.003
89,0.019086696207523346,0.8576987385749817,20.0,0.003
94,0.019082089886069298,0.8731692433357239,20.0,0.003
99,0.019208241254091263,0.8510751128196716,20.0,0.003
