epoch,distortion_loss,accuracy, rate, lambda
4,0.015013597905635834,0.7112,20.0,0.001
9,0.013305836357176304,0.7499,20.0,0.001
14,0.0132236797362566,0.7573,20.0,0.001
19,0.012492367066442966,0.7702,20.0,0.001
24,0.01179865188896656,0.7774,20.0,0.001
29,0.011764260940253735,0.7804,20.0,0.001
34,0.011685238219797611,0.7812,20.0,0.001
39,0.011647980660200119,0.7834,20.0,0.001
44,0.011614032089710236,0.7809,20.0,0.001
49,0.011549342423677444,0.7859,20.0,0.001
54,0.011581138707697392,0.7903,20.0,0.001
59,0.011497045867145061,0.7867,20.0,0.001
64,0.011483797803521156,0.7891,20.0,0.001
69,0.011525675654411316,0.7874,20.0,0.001
74,0.011523444205522537,0.7922,20.0,0.001
79,0.011535360477864742,0.7919,20.0,0.001
84,0.011459379456937313,0.7951,20.0,0.001
89,0.011532487347722054,0.7941,20.0,0.001
94,0.011501590721309185,0.789,20.0,0.001
99,0.011526952497661114,0.7908,20.0,0.001
