epoch,distortion_loss,cross_entropy_loss,rate,lambda
4,0.058927178382873535,0.8268510699272156,4.0,0.05
9,0.05579506605863571,0.6567277908325195,4.0,0.05
14,0.06512928009033203,0.6059117317199707,4.0,0.05
19,0.06346297264099121,0.5223425626754761,4.0,0.05
24,0.0672641396522522,0.4834188222885132,4.0,0.05
29,0.06536273658275604,0.4759984314441681,4.0,0.05
34,0.06704813241958618,0.46067655086517334,4.0,0.05
39,0.06895807385444641,0.4580696225166321,4.0,0.05
44,0.07031413912773132,0.44751137495040894,4.0,0.05
49,0.07203120738267899,0.4541967511177063,4.0,0.05
54,0.07068151980638504,0.4381750524044037,4.0,0.05
59,0.06909241527318954,0.45988866686820984,4.0,0.05
64,0.07069362699985504,0.44176262617111206,4.0,0.05
69,0.07001863420009613,0.44133782386779785,4.0,0.05
74,0.07152295112609863,0.4351092576980591,4.0,0.05
79,0.07068968564271927,0.45089685916900635,4.0,0.05
84,0.07059340924024582,0.44683557748794556,4.0,0.05
89,0.0705738291144371,0.44693681597709656,4.0,0.05
94,0.07116598635911942,0.4413765072822571,4.0,0.05
99,0.07177795469760895,0.4428271949291229,4.0,0.05
