epoch,distortion_loss,accuracy,rate,lambda
4,0.058927178382873535,0.7255,4.0,0.05
9,0.05579506605863571,0.8013,4.0,0.05
14,0.06512928009033203,0.8178,4.0,0.05
19,0.06346297264099121,0.8374,4.0,0.05
24,0.0672641396522522,0.8559,4.0,0.05
29,0.06536273658275604,0.8618,4.0,0.05
34,0.06704813241958618,0.8677,4.0,0.05
39,0.06895807385444641,0.8686,4.0,0.05
44,0.07031413912773132,0.8721,4.0,0.05
49,0.07203120738267899,0.8672,4.0,0.05
54,0.07068151980638504,0.8744,4.0,0.05
59,0.06909241527318954,0.8686,4.0,0.05
64,0.07069362699985504,0.8695,4.0,0.05
69,0.07001863420009613,0.872,4.0,0.05
74,0.07152295112609863,0.8671,4.0,0.05
79,0.07068968564271927,0.8711,4.0,0.05
84,0.07059340924024582,0.8716,4.0,0.05
89,0.0705738291144371,0.8734,4.0,0.05
94,0.07116598635911942,0.873,4.0,0.05
99,0.07177795469760895,0.8756,4.0,0.05
