epoch,distortion_loss,accuracy, rate, lambda
4,0.0355672761797905,0.4704,4.0,0.001
9,0.03518590331077576,0.5058,4.0,0.001
14,0.03439013287425041,0.516,4.0,0.001
19,0.03422290086746216,0.5234,4.0,0.001
24,0.03365447744727135,0.5286,4.0,0.001
29,0.03357621654868126,0.5259,4.0,0.001
34,0.03355589509010315,0.5283,4.0,0.001
39,0.03358566015958786,0.5313,4.0,0.001
44,0.033297061920166016,0.5252,4.0,0.001
49,0.033303529024124146,0.5275,4.0,0.001
54,0.03339672088623047,0.5247,4.0,0.001
59,0.03334257751703262,0.5311,4.0,0.001
64,0.03336206078529358,0.5297,4.0,0.001
69,0.03350553289055824,0.5229,4.0,0.001
74,0.03325876221060753,0.5295,4.0,0.001
79,0.033292535692453384,0.5284,4.0,0.001
84,0.03325953334569931,0.5308,4.0,0.001
89,0.033301129937171936,0.5201,4.0,0.001
94,0.033350229263305664,0.5272,4.0,0.001
99,0.03331184387207031,0.5274,4.0,0.001
