epoch,distortion_loss,perception_loss,rate,lambda
4,0.028522755950689316,1.0931382179260254,8.0,0.001
9,0.025649484246969223,1.0934206247329712,8.0,0.001
14,0.024696659296751022,1.121155023574829,8.0,0.001
19,0.024551117792725563,1.0359878540039062,8.0,0.001
24,0.023945173248648643,1.003245234489441,8.0,0.001
29,0.02397637441754341,1.003587245941162,8.0,0.001
34,0.023763855919241905,0.9715132117271423,8.0,0.001
39,0.023722514510154724,0.9649839997291565,8.0,0.001
44,0.02356022223830223,0.9855368137359619,8.0,0.001
49,0.023567140102386475,0.9861936569213867,8.0,0.001
