epoch,distortion_loss,accuracy, rate, lambda
4,0.010139558464288712,0.7454,32.0,0.001
9,0.008680049329996109,0.7811,32.0,0.001
14,0.008152762427926064,0.7975,32.0,0.001
19,0.007600043900310993,0.8112,32.0,0.001
24,0.006915355566889048,0.8177,32.0,0.001
29,0.006873575504869223,0.8213,32.0,0.001
34,0.006834506988525391,0.8185,32.0,0.001
39,0.006745047401636839,0.831,32.0,0.001
44,0.006716576404869556,0.8257,32.0,0.001
49,0.006679351441562176,0.8328,32.0,0.001
54,0.006676752120256424,0.8346,32.0,0.001
59,0.006703950930386782,0.8353,32.0,0.001
64,0.006667174398899078,0.8368,32.0,0.001
69,0.00668523320928216,0.832,32.0,0.001
74,0.006688072811812162,0.8398,32.0,0.001
79,0.0066444119438529015,0.8349,32.0,0.001
84,0.006664555985480547,0.8392,32.0,0.001
89,0.006631094962358475,0.8438,32.0,0.001
94,0.006642599124461412,0.8389,32.0,0.001
99,0.00661998288705945,0.8382,32.0,0.001
