epoch,distortion_loss,perception_loss,rate,lambda
4,0.03538408502936363,2.854433059692383,4.0,0.001
9,0.03447859361767769,2.8194403648376465,4.0,0.001
14,0.03421947360038757,2.8593533039093018,4.0,0.001
19,0.034078191965818405,2.7209954261779785,4.0,0.001
24,0.03370107337832451,3.0176010131835938,4.0,0.001
29,0.03356647118926048,3.0164711475372314,4.0,0.001
34,0.03340400010347366,3.0355284214019775,4.0,0.001
39,0.03350372985005379,3.041627883911133,4.0,0.001
44,0.03330150991678238,3.085736036300659,4.0,0.001
49,0.03327781707048416,3.073730707168579,4.0,0.001
