epoch,distortion_loss,cross_entropy_loss,rate,lambda
4,0.016363859176635742,1.6877745389938354,120.0,0.03
9,0.013468499295413494,1.1941869258880615,120.0,0.03
14,0.012996537610888481,1.0609019994735718,120.0,0.03
19,0.012959080748260021,0.9246731400489807,120.0,0.03
24,0.013580137863755226,0.9698602557182312,120.0,0.03
29,0.012864910066127777,1.0634738206863403,120.0,0.03
34,0.015964439138770103,0.9711782336235046,120.0,0.03
39,0.013370265252888203,0.8813357353210449,120.0,0.03
44,0.013540377840399742,0.8885768055915833,120.0,0.03
49,0.013061531819403172,0.8504039645195007,120.0,0.03
54,0.013061252422630787,0.8414974808692932,120.0,0.03
59,0.01263174507766962,0.814058244228363,120.0,0.03
64,0.012660053558647633,0.8335164189338684,120.0,0.03
69,0.012388036586344242,0.8129470944404602,120.0,0.03
74,0.012592676095664501,0.818246066570282,120.0,0.03
79,0.012706548906862736,0.7959562540054321,120.0,0.03
84,0.012645411305129528,0.8006991744041443,120.0,0.03
89,0.012279362417757511,0.7949941754341125,120.0,0.03
94,0.012554372660815716,0.8141767978668213,120.0,0.03
99,0.012851942330598831,0.77754145860672,120.0,0.03
