epoch,distortion_loss,accuracy,rate,lambda
4,0.016363859176635742,0.4170636140135218,120.0,0.03
9,0.013468499295413494,0.6051014136447449,120.0,0.03
14,0.012996537610888481,0.64970036877689,120.0,0.03
19,0.012959080748260021,0.6983712354025814,120.0,0.03
24,0.013580137863755226,0.6807775046097111,120.0,0.03
29,0.012864910066127777,0.6538106945298094,120.0,0.03
34,0.015964439138770103,0.6793177627535341,120.0,0.03
39,0.013370265252888203,0.7158881376767056,120.0,0.03
44,0.013540377840399742,0.7076290719114936,120.0,0.03
49,0.013061531819403172,0.7232636754763369,120.0,0.03
54,0.013061252422630787,0.726259987707437,120.0,0.03
59,0.01263174507766962,0.7388982790411801,120.0,0.03
64,0.012660053558647633,0.7304855562384758,120.0,0.03
69,0.012388036586344242,0.731100184388445,120.0,0.03
74,0.012592676095664501,0.7316763982790412,120.0,0.03
79,0.012706548906862736,0.7396665642286416,120.0,0.03
84,0.012645411305129528,0.7418177627535341,120.0,0.03
89,0.012279362417757511,0.7432390903503381,120.0,0.03
94,0.012554372660815716,0.7352105101413645,120.0,0.03
99,0.012851942330598831,0.7465427166564229,120.0,0.03
