epoch,distortion_loss,perception_loss,rate,lambda
4,0.02148601785302162,1.4174268245697021,16.0,0.003
9,0.021058417856693268,1.971543788909912,16.0,0.003
14,0.020957043394446373,1.891370415687561,16.0,0.003
19,0.02087215892970562,1.9337990283966064,16.0,0.003
24,0.02132711559534073,1.8792061805725098,16.0,0.003
29,0.02210620604455471,1.8923451900482178,16.0,0.003
34,0.021177450194954872,2.016298294067383,16.0,0.003
39,0.020568838343024254,1.8559119701385498,16.0,0.003
44,0.020821578800678253,2.0853803157806396,16.0,0.003
49,0.020648278295993805,1.9289237260818481,16.0,0.003
54,0.02062654308974743,1.9862803220748901,16.0,0.003
59,0.02058851718902588,1.9919419288635254,16.0,0.003
64,0.020824026316404343,1.9560147523880005,16.0,0.003
69,0.020625976845622063,1.8977195024490356,16.0,0.003
74,0.02054787240922451,2.0414016246795654,16.0,0.003
79,0.020754294469952583,1.9211413860321045,16.0,0.003
84,0.02068408764898777,1.8951654434204102,16.0,0.003
89,0.02059665136039257,1.9743058681488037,16.0,0.003
94,0.020733190700411797,1.8901628255844116,16.0,0.003
99,0.020613376051187515,1.9174301624298096,16.0,0.003
