epoch,distortion_loss,accuracy,rate,lambda
4,0.02148601785302162,0.3553318992009834,16.0,0.003
9,0.021058417856693268,0.42171173939766443,16.0,0.003
14,0.020957043394446373,0.4790258143822987,16.0,0.003
19,0.02087215892970562,0.5240857406269207,16.0,0.003
24,0.02132711559534073,0.5515903503380455,16.0,0.003
29,0.02210620604455471,0.5807467732022127,16.0,0.003
34,0.021177450194954872,0.6064459127228027,16.0,0.003
39,0.020568838343024254,0.6263060848186847,16.0,0.003
44,0.020821578800678253,0.6486631837738168,16.0,0.003
49,0.020648278295993805,0.6462046711739398,16.0,0.003
54,0.02062654308974743,0.6441303011677935,16.0,0.003
59,0.02058851718902588,0.6505454824830977,16.0,0.003
64,0.020824026316404343,0.6522741241548863,16.0,0.003
69,0.020625976845622063,0.6475107559926244,16.0,0.003
74,0.02054787240922451,0.6525814382298709,16.0,0.003
79,0.020754294469952583,0.6536954517516902,16.0,0.003
84,0.02068408764898777,0.6630301167793485,16.0,0.003
89,0.02059665136039257,0.6587277197295636,16.0,0.003
94,0.020733190700411797,0.6673325138291334,16.0,0.003
99,0.020613376051187515,0.6549631223110018,16.0,0.003
