epoch,distortion_loss,accuracy,rate,lambda
4,0.04571555554866791,0.8726,28.0,0.05
9,0.05212893709540367,0.8943,28.0,0.05
14,0.051075249910354614,0.9019,28.0,0.05
19,0.04800443723797798,0.9202,28.0,0.05
24,0.045357897877693176,0.9218,28.0,0.05
29,0.045156080275774,0.9232,28.0,0.05
34,0.045897796750068665,0.9246,28.0,0.05
39,0.04540974646806717,0.9266,28.0,0.05
44,0.045331597328186035,0.9273,28.0,0.05
49,0.04495280608534813,0.9268,28.0,0.05
54,0.044956374913454056,0.9279,28.0,0.05
59,0.045065321028232574,0.9263,28.0,0.05
64,0.04509866237640381,0.9276,28.0,0.05
69,0.04509326070547104,0.9272,28.0,0.05
74,0.0444183424115181,0.9304,28.0,0.05
79,0.045099515467882156,0.9281,28.0,0.05
84,0.045770153403282166,0.9288,28.0,0.05
89,0.045292168855667114,0.9262,28.0,0.05
94,0.04484330490231514,0.9271,28.0,0.05
99,0.04439150169491768,0.9291,28.0,0.05
