epoch,distortion_loss,cross_entropy_loss,rate,lambda
4,0.04571555554866791,0.4141516089439392,28.0,0.05
9,0.05212893709540367,0.3557395040988922,28.0,0.05
14,0.051075249910354614,0.31558987498283386,28.0,0.05
19,0.04800443723797798,0.26553985476493835,28.0,0.05
24,0.045357897877693176,0.25499874353408813,28.0,0.05
29,0.045156080275774,0.25345638394355774,28.0,0.05
34,0.045897796750068665,0.2539728283882141,28.0,0.05
39,0.04540974646806717,0.24349501729011536,28.0,0.05
44,0.045331597328186035,0.24169865250587463,28.0,0.05
49,0.04495280608534813,0.2417072206735611,28.0,0.05
54,0.044956374913454056,0.24131113290786743,28.0,0.05
59,0.045065321028232574,0.24101048707962036,28.0,0.05
64,0.04509866237640381,0.23878315091133118,28.0,0.05
69,0.04509326070547104,0.24253305792808533,28.0,0.05
74,0.0444183424115181,0.22869205474853516,28.0,0.05
79,0.045099515467882156,0.23845873773097992,28.0,0.05
84,0.045770153403282166,0.23395705223083496,28.0,0.05
89,0.045292168855667114,0.24304884672164917,28.0,0.05
94,0.04484330490231514,0.23871149122714996,28.0,0.05
99,0.04439150169491768,0.23283319175243378,28.0,0.05
