epoch,distortion_loss,accuracy,rate,lambda
4,0.02534538321197033,0.3250614628149969,12.0,0.003
9,0.022409772500395775,0.3803779963122311,12.0,0.003
14,0.022758664563298225,0.41030270436385985,12.0,0.003
19,0.02253582887351513,0.46611862323294406,12.0,0.003
24,0.02244015969336033,0.4855178242163491,12.0,0.003
29,0.02267974242568016,0.4881684081130916,12.0,0.003
34,0.02260996401309967,0.5163260602335586,12.0,0.003
39,0.022525442764163017,0.5230869698832207,12.0,0.003
44,0.022432126104831696,0.5387984019668101,12.0,0.003
49,0.022417252883315086,0.5467501536570375,12.0,0.003
54,0.022599879652261734,0.5533574062692072,12.0,0.003
59,0.02242138609290123,0.5394898586355255,12.0,0.003
64,0.022439762949943542,0.5503995082974801,12.0,0.003
69,0.02261633798480034,0.5563153042409342,12.0,0.003
74,0.022519083693623543,0.5515903503380455,12.0,0.003
79,0.02237243950366974,0.5547019053472649,12.0,0.003
84,0.022727062925696373,0.5661109403810695,12.0,0.003
89,0.022713368758559227,0.5526275353411186,12.0,0.003
94,0.02251328155398369,0.5636908420405654,12.0,0.003
99,0.022505784407258034,0.566379840196681,12.0,0.003
